author,commit_count,range
Unknown,2895,2000+
ogrisel,2504,2000+
amueller,2052,2000+
GaelVaroquaux,1781,1001-2000
larsmans,1262,1001-2000
agramfort,1085,1001-2000
glouppe,936,501-1000
thomasjpfan,907,501-1000
pprett,860,501-1000
mblondel,779,501-1000
vene,775,501-1000
jnothman,775,501-1000
glemaitre,604,501-1000
arjoly,580,501-1000
lesteve,475,201-500
jeremiedbb,406,201-500
jaquesgrobler,362,201-500
jakevdp,346,201-500
MechCoder,313,201-500
qinhanmin2014,264,201-500
adrinjalali,259,201-500
NicolasHug,250,201-500
NelleV,234,201-500
robertlayton,233,201-500
bdholt1,186,101-200
lucyleeow,143,101-200
ndawe,142,101-200
raghavrv,140,101-200
scikit-learn-bot,138,101-200
ahojnnes,137,101-200
rth,134,101-200
lorentzenchr,134,101-200
jjerphan,132,101-200
TomDLT,113,101-200
weilinear,109,101-200
cmarmo,105,101-200
Charlie-XIAO,104,101-200
clayw,103,101-200
kemaleren,100,101-200
oddskool,95,51-100
AlexanderFabisch,92,51-100
alextp,87,51-100
bthirion,85,51-100
VirgileFritsch,82,51-100
alfaro96,82,51-100
dsullivan7,82,51-100
hamsal,82,51-100
betatim,80,51-100
Micky774,79,51-100
ibayer,72,51-100
ArturoAmorQ,69,51-100
genvalen,64,51-100
FlorianWilhelm,63,51-100
ronw,63,51-100
jmloyola,61,51-100
OmarManzoor,61,51-100
satra,58,51-100
maheshakya,58,51-100
StefanieSenger,52,51-100
mjbommar,51,51-100
franslarsson,49,26-50
nelson-liu,49,26-50
rprkh,47,26-50
yarikoptic,46,26-50
Tialo,44,26-50
kastnerkyle,42,26-50
hlin117,41,26-50
conradlee,39,26-50
marenwestermann,39,26-50
Titan-C,38,26-50
cbrnr,38,26-50
NicolasTr,38,26-50
paolo-losi,38,26-50
zaxtax,37,26-50
MaxwellLZH,36,26-50
yenchenlin,35,26-50
chyikwei,35,26-50
untom,35,26-50
trevorstephens,34,26-50
lucidfrontier45,34,26-50
duchesnay,34,26-50
maikia,33,26-50
albertcthomas,33,26-50
alexis-mignon,32,26-50
pgervais,32,26-50
adam2392,31,26-50
jorisvandenbossche,31,26-50
kmike,31,26-50
eickenberg,30,26-50
DimitriPapadopoulos,30,26-50
JeanKossaifi,30,26-50
stefmolin,29,26-50
yuanx749,29,26-50
jaberg,27,26-50
jakirkham,26,26-50
michigraber,25,26-50
jiawei-zhang-a,24,11-25
bharatr21,23,11-25
Higgs32584,23,11-25
syhw,23,11-25
alexhenrie,22,11-25
pberkes,22,11-25
reshamas,22,11-25
dwf,21,11-25
chkoar,21,11-25
Balu-Varanasi,21,11-25
sameshl,21,11-25
nmayorov,21,11-25
dnouri,20,11-25
justinvf,19,11-25
aymas,19,11-25
mvdoc,19,11-25
Vincent-Maladiere,19,11-25
vinayak-mehta,19,11-25
ngoix,19,11-25
rasbt,19,11-25
azihna,18,11-25
wdevazelhes,18,11-25
tguillemot,18,11-25
yanlend,18,11-25
AWinterman,18,11-25
davidgilbertson,18,11-25
erg,18,11-25
star1327p,18,11-25
davidmarek,17,11-25
tjanez,17,11-25
perimosocordiae,17,11-25
